start,end,path
Brain,Telephone,"['Brain', 'Computer_science', 'Linguistics', 'Speech_synthesis', 'Electronics', 'Telephone']"
Theatre,Zebra,"['Theatre', 'Ramayana', 'Vulture', 'Animal', 'Chordate', 'Mammal', 'Zebra']"
Asteroid,Viking,"['Asteroid', 'Scattered_disc', 'Space_exploration', 'Netherlands', 'Viking']"
Pyramid,Bean,"['Pyramid', 'Pottery', 'Clay', 'Soil', 'Insect', 'Bee', 'Honey', 'Beekeeping', 'Honey_bee', 'Soybean', 'Bean']"
Batman,Wood,"['Batman', 'Bat', 'Fungus', 'Plant', 'Wood']"
Bird,Great_white_shark,"['Bird', 'Reptile', 'Plesiosaur', 'Basking_shark', 'Great_white_shark']"
Batman,The_Holocaust,"['Batman', 'Popular_culture', 'World_War_I', 'World_War_II', 'The_Holocaust']"
Beer,Sun,"['Beer', 'Geology', 'Sunlight', 'Sun']"
Bird,Adolf_Hitler,"['Bird', 'Germany', 'Adolf_Hitler']"
Batman,Banana,"['Batman', 'Christian_Bale', 'Pac-Man', 'Bicycle', 'Toy', 'Clay', 'Soil', 'Yellow_River', 'Amur', 'Yellow_River', 'Yangtze_River', 'Yellow_River', 'Nile', 'Fish', 'Insect', 'Yellow_fever', 'Arthropod', 'Honey', 'Banana']"
Cat,Computer,"['Cat', 'Genetics', 'Bioinformatics', 'Computer_science', 'Quantum_computer', 'Computer']"
Cat,Microsoft,"['Cat', 'Genetics', 'Science', 'Technology', 'Internet', 'Microsoft']"
Dog,Telephone,"['Dog', 'Animal', 'Heraldry', 'Wikisource', 'Google', 'Tel_Aviv', 'Tokyo', 'Radio', 'Alexander_Graham_Bell', 'Telephone']"
Aircraft,Google,"['Aircraft', 'Computer', 'World_Wide_Web', 'Google']"
Dog,Venus,"['Dog', 'Vitamin_D', 'Sunlight', 'Venus']"
Computer,Fruit,"['Computer', 'Berlin', 'Malta', 'Baroque', 'Ebony', 'Plum', 'Fruit']"
Aluminium_chloride,Parrot,"['Aluminium_chloride', 'Oxford', 'Tyrannosaurus', 'Bird', 'Parrot']"
Batman,Penguin,"['Batman', 'Bat', 'Vertebrate', 'Bird', 'Penguin']"
Automobile,Pluto,"['Automobile', 'Henry_Ford', 'Soybean', 'Rome', 'Egypt', 'Mauritania', 'Atlantis', 'Oceania', 'Platypus', 'South_America', 'Atlantis', 'Oceania', 'Platypus', 'Animal', 'Earth', 'Pluto']"
England,God,"['England', 'Anglican_Communion', 'Jesus', 'Trinity', 'God']"
Batman,Bible,"['Batman', 'Popular_culture', 'Christianity', 'Bible']"
Art,Mango,"['Art', 'Impressionism', 'Puerto_Rico', 'Reptile', 'Eukaryote', 'Plant', 'Fruit', 'Mango']"
Flower,Adolf_Hitler,"['Flower', 'Westminster_Abbey', 'World_War_I', 'World_War_II', 'Adolf_Hitler']"
Calculus,Paul_McCartney,"['Calculus', 'BBC', 'The_Beatles', 'Paul_McCartney']"
Achilles_tendon,Ocean,"['Achilles_tendon', 'Hippocrates', 'Brisbane', 'Tide', 'Ocean']"
