start,end,path
Brain,Telephone,"['Brain', 'Cell_%28biology%29', 'Mitochondrion', 'Star_Wars', 'Computer_and_video_games', 'Television', 'Telecommunication', 'Telephone']"
Theatre,Zebra,"['Theatre', 'India', 'Mammal', 'Zebra']"
Asteroid,Viking,"['Asteroid', 'Trojan_War', 'Ancient_Greece', 'Macedon', '1st_century_BC', '9th_century', 'Viking']"
Pyramid,Bean,"['Pyramid', 'Mexico', 'Agriculture', 'Vegetable', 'Bean']"
Batman,Wood,"['Batman', 'Scotland', 'Temperate', 'Geography', 'Vegetation', 'Plant', 'Wood']"
Bird,Great_white_shark,"['Bird', 'Reptile', 'Reptile', 'Reptile', 'Reptile', 'Reptile', 'Reptile', 'Vertebrate', 'Fish', 'Whale_shark', 'Shark', 'Great_white_shark']"
Batman,The_Holocaust,"['Batman', 'Earthquake', 'Tsunami', 'India', 'Europe', 'World_War_II', 'The_Holocaust']"
Beer,Sun,"['Beer', 'Indonesia', 'Sumatra', 'Indian_Ocean', 'Ocean', 'Solar_System', 'Sun']"
Bird,Adolf_Hitler,"['Bird', 'Human', 'World_War_II', 'Adolf_Hitler']"
Batman,Banana,"['Batman', 'Scotland', 'Cattle', 'Vegetation', 'Plant', 'Fruit', 'Banana']"
Cat,Computer,"['Cat', 'Scientific_classification', 'Organism', 'Cell_%28biology%29', 'Microscope', 'Engineering', 'Computer']"
Cat,Microsoft,"['Cat', 'Genetics', 'Human', 'Organization', 'Corporation', 'Sweden', 'Economics', 'Finance', 'Business', 'Corporation', 'University', 'Logic', 'Computer_science', 'Computer_programming', 'Microsoft']"
Dog,Telephone,"['Dog', 'Postage_stamp', 'Wood', 'Cell_%28biology%29', 'Mitochondrion', 'Star_Wars', 'Force', 'Electric_charge', 'Electricity', 'Alexander_Graham_Bell', 'Telephone']"
Aircraft,Google,"['Aircraft', 'Airbus_A380', 'Airbus', 'Industry', 'Computer', 'Internet', 'Cloud', 'Meteorology', 'Galileo_Galilei', 'Telescope', 'Binoculars', 'United_States', 'Electronics', 'Computer', 'World_Wide_Web', 'Google']"
Dog,Venus,"['Dog', 'Vegetable', 'Vitamin', 'Royal_Navy', 'Sea', 'Moon', 'Venus']"
Computer,Fruit,"['Computer', 'Toy', 'Apple', 'Fruit']"
