start,end,path
Brain,Telephone,"['Brain', 'Computer_science', 'Internet', 'Optical_fiber', 'Light', 'Radio', 'Radar', 'Radio', 'Radar', 'Radio', 'Bluetooth', 'Radio', 'Television', 'Telecommunication', 'Telephone']"
Theatre,Zebra,"['Theatre', 'Dance', 'Animal', 'Mammal', 'Zebra']"
Asteroid,Viking,"['Asteroid', 'Trojan_War', 'Macedon', 'Greece', 'Sweden', 'Viking']"
Pyramid,Bean,"['Pyramid', '15th_century', 'India', 'Rice', 'Seed', 'Bean']"
Batman,Wood,"['Batman', 'Scotland', 'Textile', 'Art', 'Sculpture', 'Pottery', 'Clay', 'Soil', 'Forest', 'Tree', 'Wood']"
Bird,Great_white_shark,"['Bird', 'Owl', 'Fish', 'Whale_shark', 'Shark', 'Great_white_shark']"
Batman,The_Holocaust,"['Batman', 'Crime', 'Law', 'World_War_II', 'The_Holocaust']"
Beer,Sun,"['Beer', 'Phosphorus', 'Day', 'Sun']"
Bird,Adolf_Hitler,"['Bird', 'Human', 'Military_dictatorship', 'Despotism', 'Autocracy', 'Military_dictatorship', 'Despotism', '18th_century', 'Napoleon_I_of_France', 'Germany', 'Adolf_Hitler']"
Batman,Banana,"['Batman', 'Scotland', 'Cattle', 'Milk', 'Mammal', 'Platypus', 'South_America', 'Anaconda', 'Guyana', 'Agriculture', 'Fruit', 'Banana']"
Cat,Computer,"['Cat', 'Sound', 'Music', 'Communication', 'Internet', 'Microsoft', 'Computer']"
Cat,Microsoft,"['Cat', 'Genetics', 'United_Kingdom', 'Computer', 'Microsoft_Windows', 'Microsoft']"
Dog,Telephone,"['Dog', 'Postage_stamp', 'United_States', 'Television', 'Telecommunication', 'Telephone']"
Aircraft,Google,"['Aircraft', 'Helium', 'Telescope', 'Galileo_Galilei', 'Technology', 'Computer', 'World_Wide_Web', 'Google']"
Dog,Venus,"['Dog', 'Africa', 'Earth', 'Planet', 'Venus']"
Computer,Fruit,"['Computer', 'Toy', 'Apple', 'Fruit']"
Aluminium_chloride,Parrot,"['Aluminium_chloride', 'Salt', 'Color', 'Bird', 'Parrot']"
Batman,Penguin,"['Batman', 'Scotland', 'Lion', 'Mammal', 'Vertebrate', 'Bird', 'Penguin']"
Automobile,Pluto,"['Automobile', 'Hydrogen', 'Gas_giant', 'Extrasolar_planet', 'Planet', 'Pluto']"
England,God,"['England', 'Christianity', 'Jew', 'Zeus', 'Religion', 'God']"
Batman,Bible,"['Batman', 'Scotland', 'Religion', 'Bible']"
Art,Mango,"['Art', 'Philosophy', 'Nature', 'Plant', 'Fruit', 'Mango']"
Flower,Adolf_Hitler,
Calculus,Paul_McCartney,"['Calculus', 'Europe', 'Homer', 'William_Shakespeare', 'Ben_Jonson', 'William_Shakespeare', 'Ben_Jonson', 'Actor', 'The_Simpsons', 'Nirvana_%28band%29', 'Kurt_Cobain', 'The_Beatles', 'Paul_McCartney']"
Achilles_tendon,Ocean,"['Achilles_tendon', 'Latin', 'Europe', 'Arctic_Ocean', 'Ocean']"
14th_century,Rainbow,"['14th_century', 'Time', 'Light', 'Rainbow']"
Electricity,God,"['Electricity', 'Ancient_Greece', 'Christianity', 'Judaism', 'God']"
Calculus,Lemon,"['Calculus', 'Biology', 'Botany', 'Fruit', 'Citrus', 'Lemon']"
Archbishop_of_Canterbury,Vietnam,"['Archbishop_of_Canterbury', 'Rome', 'Philippines', 'Vietnam']"
Brazil,Hydrogen,"['Brazil', 'Language', 'Science', 'Chemistry', 'Hydrogen']"
