start,end,path
Brain,Telephone,"['Brain', 'Computer_science', 'Internet', 'Optical_fiber', 'Engineering', 'Computer', 'Telephone']"
Theatre,Zebra,"['Theatre', 'Stage_%28theatre%29', 'Italy', 'Austria', 'Country', 'English_language', 'England', 'Lion', 'Zebra']"
Asteroid,Viking,"['Asteroid', 'Trojan_War', 'Ancient_Greece', 'Ancient_Rome', 'Ancient_Greece', 'Europe', 'Middle_Ages', 'Viking']"
Pyramid,Bean,"['Pyramid', 'Egypt', 'Agriculture', 'Soybean', 'Peanut', 'Seed', 'Bean']"
Batman,Wood,"['Batman', 'Earthquake', 'Magma', 'Silicon', 'Glass', 'Stone_Age', 'Pottery', 'Coal', 'Mineral', 'Carbon', 'Coal', 'Coal', 'Coal', 'Coal', 'Carbon', 'Coal', 'Fossil_fuel', 'Wood']"
Bird,Great_white_shark,"['Bird', 'Mammal', 'Whale', 'Fish', 'Whale_shark', 'Shark', 'Great_white_shark']"
Batman,The_Holocaust,"['Batman', 'Scotland', 'World_War_II', 'The_Holocaust']"
Beer,Sun,"['Beer', 'Selenium', 'Color', 'Light', 'Sun']"
Bird,Adolf_Hitler,"['Bird', 'Human', 'World_War_II', 'Germany', 'Adolf_Hitler']"
Batman,Banana,"['Batman', 'Crime', 'Culture', 'Agriculture', 'Fruit', 'Banana']"
Cat,Computer,"['Cat', 'Mammal', 'Chordate', 'Scientific_classification', 'Organism', 'Biology', 'Microscope', 'Engineering', 'Computer']"
Cat,Microsoft,"['Cat', 'Dutch_language', 'United_States', 'North_America', 'Mexico', 'United_States', 'Europe', 'United_Kingdom', 'Computer', 'Microsoft_Windows', 'Microsoft']"
Dog,Telephone,"['Dog', 'Mixed-breed_dog', 'United_Kingdom', 'Computer', 'Telephone']"
Aircraft,Google,"['Aircraft', 'Airbus_A380', 'United_States_dollar', 'United_States', 'West_Virginia', 'United_States', 'Canada', 'Petroleum', 'United_States', 'North_America', 'United_States', 'California', 'Computer', 'World_Wide_Web', 'Google']"
Dog,Venus,"['Dog', 'Animal', 'Sunlight', 'Sun', 'Planet', 'Venus']"
Computer,Fruit,"['Computer', 'Computer_and_video_games', 'Nintendo', 'Super_Mario_Bros.', 'Italy', 'Dante_Alighieri', 'France', 'Country', 'Australia', 'Kangaroo', 'Milk', 'Australia', 'Kangaroo', 'Milk', 'Meat', 'Food', 'Peanut', 'Fruit']"
Aluminium_chloride,Parrot,"['Aluminium_chloride', 'Salt', 'Color', 'Bird', 'Parrot']"
Batman,Penguin,"['Batman', 'Spring_Heeled_Jack', 'Earth', 'Animal', 'Bird', 'Penguin']"
Automobile,Pluto,"['Automobile', 'United_States', 'List_of_countries', 'San_Marino', 'List_of_countries_by_system_of_government', 'United_States', 'North_America', 'Plate_tectonics', 'Astronomy', 'Planet', 'Pluto']"
England,God,"['England', 'Christianity', 'Jesus', 'God']"
Batman,Bible,"['Batman', 'Superman', 'Judaism', 'Bible']"
Art,Mango,"['Art', 'Australia', 'Tropics', 'Summer', 'Fruit', 'Food', 'Peanut', 'Fruit', 'Mango']"
Flower,Adolf_Hitler,"['Flower', 'United_Kingdom', 'Germany', 'Adolf_Hitler']"
Calculus,Paul_McCartney,"['Calculus', 'Europe', 'England', 'The_Beatles', 'Paul_McCartney']"
Achilles_tendon,Ocean,"['Achilles_tendon', 'Latin', 'The_Cat_in_the_Hat', 'Dr._Seuss', 'Whale', 'Sea', 'Ocean']"
