start,end,path
Brain,Telephone,"['Brain', 'Computer_science', 'Internet', 'World_Wide_Web', 'Telephone']"
Theatre,Zebra,"['Theatre', 'Brazil', 'Africa', 'Herbivore', 'Carnivore', 'Animal', 'Vertebrate', 'Mammal', 'Chordate', 'Vertebrate', 'Animal', 'Mammal', 'Zebra']"
Asteroid,Viking,"['Asteroid', 'Comet', 'Denmark', 'Viking']"
Pyramid,Bean,"['Pyramid', 'Mexico', 'Agriculture', 'Soybean', 'Seed', 'Bean']"
Batman,Wood,"['Batman', 'Scotland', 'Coal', 'Coal', 'Carbon', 'Mineral', 'Carbon', 'Plant', 'Wood']"
Bird,Great_white_shark,"['Bird', 'Fish', 'Whale_shark', 'Shark', 'Great_white_shark']"
Batman,The_Holocaust,"['Batman', 'Crime', 'Society', 'History', 'Human', 'World_War_II', 'The_Holocaust']"
Beer,Sun,"['Beer', 'Selenium', 'Day', 'Sun']"
Bird,Adolf_Hitler,"['Bird', 'Human', 'World_War_II', 'Adolf_Hitler']"
Batman,Banana,"['Batman', 'Earthquake', 'California', 'Fruit', 'Food', 'Cereal', 'Fruit', 'Banana']"
Cat,Computer,"['Cat', 'Animal', 'Eukaryote', 'Organism', 'Biology', 'Microscope', 'Engineering', 'Computer']"
Cat,Microsoft,"['Cat', 'Animal', 'Organism', 'Biology', 'Science', 'Computer_science', 'Programming_language', 'Computer', 'Microsoft_Windows', 'Microsoft']"
Dog,Telephone,"['Dog', 'Mixed-breed_dog', 'Film', '20th_century', 'Telephone']"
Aircraft,Google,"['Aircraft', 'Airbus_A380', 'United_States_dollar', 'Airbus', 'United_States', 'North_America', 'California', 'Computer', 'World_Wide_Web', 'Google']"
Dog,Venus,"['Dog', 'Animal', 'Sunlight', 'Earth', 'Planet', 'Venus']"
Computer,Fruit,"['Computer', 'Toy', 'Apple', 'Fruit']"
Aluminium_chloride,Parrot,"['Aluminium_chloride', 'Salt', 'Color', 'Bird', 'Parrot']"
Batman,Penguin,"['Batman', 'Scotland', 'Folklore', 'Culture', 'Ice_age', 'Arctic_Ocean', 'Pacific_Ocean', 'Southern_Ocean', 'Antarctica', 'Penguin']"
Automobile,Pluto,"['Automobile', 'United_States', 'Latin', 'Science', 'Physical_science', 'Solar_System', 'Planet', 'Pluto']"
England,God,"['England', 'Christianity', 'Paul_of_Tarsus', 'Jesus', 'God']"
Batman,Bible,"['Batman', 'Chemistry', 'Science', 'Philosophy', 'Blaise_Pascal', 'Religion', 'Christianity', 'Bible']"
Art,Mango,"['Art', 'Australia', 'Tropics', 'Summer', 'Fruit', 'Mango']"
Flower,Adolf_Hitler,"['Flower', 'Claude_Monet', 'World_War_I', 'Nazism', 'Adolf_Hitler']"
Calculus,Paul_McCartney,"['Calculus', 'Europe', 'England', 'The_Beatles', 'Paul_McCartney']"
Achilles_tendon,Ocean,"['Achilles_tendon', 'Achilles', 'Greece', 'Mediterranean_Sea', 'Ocean']"
14th_century,Rainbow,"['14th_century', 'France', 'Spanish_language', 'Literature', 'Nature', 'Earth%27s_atmosphere', 'Neon', 'Color', 'Rainbow']"
Electricity,God,"['Electricity', 'Mesopotamia', 'God']"
Calculus,Lemon,"['Calculus', 'Biology', 'Plant', 'Fruit', 'Citrus', 'Fruit', 'Citrus', 'Fruit', 'Citrus', 'Lemon']"
Archbishop_of_Canterbury,Vietnam,"['Archbishop_of_Canterbury', 'England', 'Indonesian_language', 'Indonesia', 'Asia', 'Vietnam']"
Brazil,Hydrogen,"['Brazil', 'Bras%C3%ADlia', 'Capital', 'Helsinki', 'Topology', 'Group_%28mathematics%29', 'Chemistry', 'List_of_elements_by_name', 'Hydrogen']"
Batman,Vitamin_D,"['Batman', 'Superman', 'Photosynthesis', 'Lipid', 'Vitamin', 'Vitamin_D']"
George_W._Bush,Monkey,
China,Moon,"['China', 'Tiananmen_Square_protests_of_1989', 'China', 'Hong_Kong', 'Sun', 'Planet', 'Moon']"
Africa,England,"['Africa', 'United_Kingdom', 'England']"
Batman,Peanut,
