source,target,val,percentage
Art,Art,1,0.005100219309430306
Art,Business_Studies,2,0.010200438618860611
Art,Citizenship,3,0.015300657928290917
Art,Countries,4,0.020400877237721222
Art,Design_and_Technology,9,0.04590197378487275
Art,Everyday_life,23,0.11730504411689702
Art,Geography,19,0.0969041668791758
Art,History,2,0.010200438618860611
Art,IT,3,0.015300657928290917
Art,Language_and_literature,4,0.020400877237721222
Art,Mathematics,1,0.005100219309430306
Art,Music,8,0.040801754475442445
Art,People,16,0.08160350895088489
Art,Religion,4,0.020400877237721222
Art,Science,62,0.31621359718467895
Business_Studies,Art,4,0.020400877237721222
Business_Studies,Business_Studies,4,0.020400877237721222
Business_Studies,Citizenship,14,0.07140307033202428
Business_Studies,Countries,8,0.040801754475442445
Business_Studies,Design_and_Technology,20,0.1020043861886061
Business_Studies,Everyday_life,34,0.1734074565206304
Business_Studies,Geography,36,0.183607895139491
Business_Studies,History,24,0.12240526342632733
Business_Studies,IT,5,0.025501096547151526
Business_Studies,Language_and_literature,9,0.04590197378487275
Business_Studies,Mathematics,2,0.010200438618860611
Business_Studies,Music,13,0.06630285102259396
Business_Studies,People,30,0.15300657928290917
Business_Studies,Religion,7,0.03570153516601214
Business_Studies,Science,87,0.4437190799204366
Citizenship,Art,5,0.025501096547151526
Citizenship,Business_Studies,18,0.0918039475697455
Citizenship,Citizenship,30,0.15300657928290917
Citizenship,Countries,17,0.0867037282603152
Citizenship,Design_and_Technology,31,0.15810679859233948
Citizenship,Everyday_life,82,0.41821798337328503
Citizenship,Geography,81,0.4131177640638547
Citizenship,History,48,0.24481052685265467
Citizenship,IT,8,0.040801754475442445
Citizenship,Language_and_literature,25,0.12750548273575765
Citizenship,Mathematics,4,0.020400877237721222
Citizenship,Music,24,0.12240526342632733
Citizenship,People,76,0.3876166675167032
Citizenship,Religion,15,0.07650328964145459
Citizenship,Science,181,0.9231396950068853
Countries,Art,7,0.03570153516601214
Countries,Business_Studies,21,0.10710460549803642
Countries,Citizenship,54,0.27541184270923647
Countries,Countries,23,0.11730504411689702
Countries,Design_and_Technology,39,0.19890855306778193
Countries,Everyday_life,129,0.6579282909165094
Countries,Geography,144,0.734431580557964
Countries,History,69,0.3519151323506911
Countries,IT,23,0.11730504411689702
Countries,Language_and_literature,43,0.21930943030550312
Countries,Mathematics,5,0.025501096547151526
Countries,Music,31,0.15810679859233948
Countries,People,114,0.5814250012750548
Countries,Religion,14,0.07140307033202428
Countries,Science,297,1.514765134900801
Design_and_Technology,Art,10,0.05100219309430305
Design_and_Technology,Business_Studies,20,0.1020043861886061
Design_and_Technology,Citizenship,28,0.14280614066404856
Design_and_Technology,Countries,15,0.07650328964145459
Design_and_Technology,Design_and_Technology,26,0.13260570204518793
Design_and_Technology,Everyday_life,96,0.48962105370530934
Design_and_Technology,Geography,74,0.3774162288978426
