start,end,path
Brain,Telephone,"['Brain', 'Information', 'Telecommunication', 'Telephone']"
Theatre,Zebra,"['Theatre', 'Culture', 'Clothing', '%C3%85land', 'Bronze_Age', 'Wales', 'Fascism', 'Ezra_Pound', 'Heracles', 'Zeus', 'Elephant', 'Hippopotamus', 'Gazelle', 'Mammal', 'Zebra']"
Asteroid,Viking,"['Asteroid', 'Planet', 'Greek_mythology', 'Norse_mythology', 'Jomsvikings', 'Viking']"
Pyramid,Bean,"['Pyramid', 'Irrigation', 'Peanut', 'Soybean', 'Bean']"
Batman,Wood,"['Batman', 'Prehistoric_man', 'Axe', 'Wood']"
Bird,Great_white_shark,"['Bird', 'Tuna', 'Shark', 'Great_white_shark']"
Batman,The_Holocaust,"['Batman', 'Christian_Bale', 'World_War_II', 'The_Holocaust']"
Beer,Sun,"['Beer', 'Geology', 'Sunlight', 'Sun']"
Bird,Adolf_Hitler,"['Bird', 'Germany', 'Adolf_Hitler']"
Batman,Banana,"['Batman', 'Bat', 'Flower', 'Fruit', 'Banana']"
Cat,Computer,"['Cat', 'Animal', 'Mitochondrion', 'Animal', 'Calculus', 'Computer_science', 'Computer']"
Cat,Microsoft,"['Cat', 'Animal', 'Literature', 'Leonhard_Euler', 'Topology', 'Computer_science', 'Computer', 'Microsoft_Windows', 'Microsoft']"
Dog,Telephone,"['Dog', 'Cat', 'Animal', 'Cochineal', 'United_States', 'Electronics', 'Telephone']"
Aircraft,Google,"['Aircraft', 'Computer', 'World_Wide_Web', 'Google']"
Dog,Venus,"['Dog', 'Vitamin_D', 'Sunlight', 'Venus']"
Computer,Fruit,"['Computer', 'Abacus', 'Latin', 'Pompeii', 'Barley', 'Borage', 'Sesame', 'Vanilla', 'Fruit']"
Aluminium_chloride,Parrot,"['Aluminium_chloride', 'New_York_City', 'Chennai', 'Reptile', 'Bird', 'Parrot']"
Batman,Penguin,"['Batman', 'Bat', 'Animal', 'Bird', 'Turtle', 'Bird', 'Turtle', 'Bird', 'Turtle', 'Bird', 'Turtle', 'Bird', 'Turtle', 'Bird', 'Turtle', 'Bird', 'Turtle', 'Bird', 'Bird_migration', 'Penguin']"
