article,new_name
Áedán_mac_Gabráin,Áedán_mac_Gabráin
Åland,Åland
Édouard_Manet,Édouard_Manet
Éire,Éire
Óengus_I_of_the_Picts,Óengus_I_of_the_Picts
€2_commemorative_coins,€2_commemorative_coins
10th_century,10th_century
11th_century,11th_century
12th_century,12th_century
13th_century,13th_century
14th_century,14th_century
15th_Marine_Expeditionary_Unit,15th_Marine_Expeditionary_Unit
15th_century,15th_century
16_Cygni,16_Cygni
16_Cygni_Bb,16_Cygni_Bb
16th_century,16th_century
1755_Lisbon_earthquake,1755_Lisbon_earthquake
17th_century,17th_century
1896_Summer_Olympics,1896_Summer_Olympics
18th_century,18th_century
1928_Okeechobee_Hurricane,1928_Okeechobee_Hurricane
1973_oil_crisis,1973_oil_crisis
1980_eruption_of_Mount_St._Helens,1980_eruption_of_Mount_St._Helens
1997_Pacific_hurricane_season,1997_Pacific_hurricane_season
19th_century,19th_century
1_Ceres,1_Ceres
1st_century,1st_century
1st_century_BC,1st_century_BC
2-6-0,2-6-0
2-8-0,2-8-0
2003_Atlantic_hurricane_season,2003_Atlantic_hurricane_season
2004_Atlantic_hurricane_season,2004_Atlantic_hurricane_season
2004_Indian_Ocean_earthquake,2004_Indian_Ocean_earthquake
2005_Atlantic_hurricane_season,2005_Atlantic_hurricane_season
2005_Hertfordshire_Oil_Storage_Terminal_fire,2005_Hertfordshire_Oil_Storage_Terminal_fire
2005_Kashmir_earthquake,2005_Kashmir_earthquake
2005_Lake_Tanganyika_earthquake,2005_Lake_Tanganyika_earthquake
2005_Sumatra_earthquake,2005_Sumatra_earthquake
20th_century,20th_century
21st_century,21st_century
2nd_century,2nd_century
3_Juno,3_Juno
3rd_century,3rd_century
4-2-0,4-2-0
4-4-0,4-4-0
4-6-0,4-6-0
47_Ursae_Majoris,47_Ursae_Majoris
47_Ursae_Majoris_b,47_Ursae_Majoris_b
47_Ursae_Majoris_c,47_Ursae_Majoris_c
4_Vesta,4_Vesta
4th_century,4th_century
55_Cancri,55_Cancri
55_Cancri_b,55_Cancri_b
55_Cancri_c,55_Cancri_c
55_Cancri_d,55_Cancri_d
55_Cancri_e,55_Cancri_e
5th_century,5th_century
6-2-0,6-2-0
6th_century,6th_century
7th_century,7th_century
8th_century,8th_century
90377_Sedna,90377_Sedna
9th_century,9th_century
A._E._J._Collins,A._E._J._Collins
ABO_blood_group_system,ABO_blood_group_system
AC_DC,AC_DC
AIDS,AIDS
AK-47,AK-47
ALCO_FA,ALCO_FA
ASCII,ASCII
AT&T,AT&T
ATLAS_experiment,ATLAS_experiment
A_Christmas_Carol,A_Christmas_Carol
A_Tale_of_a_Tub,A_Tale_of_a_Tub
A_Wrinkle_in_Time,A_Wrinkle_in_Time
A_cappella,A_cappella
Aachen,Aachen
Aardvark,Aardvark
Aarhus,Aarhus
Abacá,Abacá
Abacus,Abacus
Abadan,Abadan
Abbadid,Abbadid
Abbas_I_of_Persia,Abbas_I_of_Persia
Abbasid,Abbasid
Abbey,Abbey
Abbey_Theatre,Abbey_Theatre
Abbot,Abbot
Abel_Tasman,Abel_Tasman
Aberdeen,Aberdeen
Aberration_of_light,Aberration_of_light
Aberystwyth,Aberystwyth
Abhidhamma_Pitaka,Abhidhamma_Pitaka
Abidjan,Abidjan
Abkhazia,Abkhazia
Able_Archer_83,Able_Archer_83
Abraham_Goldfaden,Abraham_Goldfaden
Abraham_Lincoln,Abraham_Lincoln
Absinthe,Absinthe
Absolute_zero,Absolute_zero
Abstract_art,Abstract_art
Abu_Dhabi,Abu_Dhabi
Abuja,Abuja
Acceleration,Acceleration
Accountancy,Accountancy
Accra,Accra
Acetic_acid,Acetic_acid
Acetone,Acetone
Achilles,Achilles
Achilles_tendon,Achilles_tendon
Acid_rain,Acid_rain
Acorn_Computers,Acorn_Computers
Actinium,Actinium
Action_potential,Action_potential
Actor,Actor
Acts_of_Union_1707,Acts_of_Union_1707
Actuary,Actuary
Adam_Smith,Adam_Smith
Addis_Ababa,Addis_Ababa
Adelaide,Adelaide
Adenosine_triphosphate,Adenosine_triphosphate
Adi_Shankara,Adi_Shankara
Adolf_Hitler,Adolf_Hitler
Adriaen_van_der_Donck,Adriaen_van_der_Donck
Advertising,Advertising
Aesthetics,Aesthetics
Afghan_Hound,Afghan_Hound
Afghanistan,Afghanistan
Africa,Africa
African_American_literature,African_American_literature
African_Black_Oystercatcher,African_Black_Oystercatcher
African_Brush-tailed_Porcupine,African_Brush-tailed_Porcupine
African_Buffalo,African_Buffalo
African_Darter,African_Darter
African_Great_Lakes,African_Great_Lakes
African_Grey_Hornbill,African_Grey_Hornbill
African_Grey_Parrot,African_Grey_Parrot
African_Jacana,African_Jacana
African_Penguin,African_Penguin
African_Union,African_Union
African_Wild_Dog,African_Wild_Dog
African_clawed_frog,African_clawed_frog
African_dwarf_frog,African_dwarf_frog
African_slave_trade,African_slave_trade
Afrikaans,Afrikaans
Agamemnon,Agamemnon
Age_of_Enlightenment,Age_of_Enlightenment
Aggregator,News_aggregator
Agnosticism,Agnosticism
Agriculture,Agriculture
Airbus,Airbus
Airbus_A380,Airbus_A380
Aircraft,Aircraft
Aircraft_carrier,Aircraft_carrier
Airship,Airship
Ajax_(programming),Ajax_(programming)
Akbar,Akbar
Akhenaten,Akhenaten
Akira_Kurosawa,Akira_Kurosawa
Akkadian_Empire,Akkadian_Empire
Akrotiri_and_Dhekelia,Akrotiri_and_Dhekelia
Aksumite_currency,Aksumite_currency
Al_Jazeera,Al_Jazeera
Alamosaurus,Alamosaurus
Alan_Turing,Alan_Turing
Albania,Albania
Albatross,Albatross
Albert_Einstein,Albert_Einstein
Alberto_Santos-Dumont,Alberto_Santos-Dumont
Albertosaurus,Albertosaurus
Albigensian_Crusade,Albigensian_Crusade
Albinism,Albinism
Albrecht_Dürer,Albrecht_Dürer
Albrecht_Rodenbach,Albrecht_Rodenbach
Alchemy,Alchemy
Alcibiades,Alcibiades
Alcohol,Alcohol
Aleksandr_Pushkin,Aleksandr_Pushkin
Aleksandr_Vasilevsky,Aleksandr_Vasilevsky
Aleksey_Arakcheyev,Aleksey_Arakcheyev
Alexander_Graham_Bell,Alexander_Graham_Bell
Alexander_Hamilton,Alexander_Hamilton
Alexander_the_Great,Alexander_the_Great
Alfred_Hitchcock,Alfred_Hitchcock
Alfred_Nobel,Alfred_Nobel
Alfred_the_Great,Alfred_the_Great
Algebra,Algebra
Algeria,Algeria
Algerian_Civil_War,Algerian_Civil_War
Algiers,Algiers
Algol,Algol
Algoma_Central_Railway,Algoma_Central_Railway
Algorithm,Algorithm
Alice's_Adventures_in_Wonderland,Alice's_Adventures_in_Wonderland
All_Blacks,All_Blacks
All_You_Need_Is_Love_(The_JAMs_song),All_You_Need_Is_Love_(The_JAMs_song)
